areasymbol	url
CA777	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA777_soildb_US_2003_[2025-09-08].zip
CA788	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA788_soildb_US_2003_[2025-09-02].zip
CA790	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA790_soildb_US_2003_[2025-09-02].zip
CA792	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA792_soildb_US_2003_[2025-09-02].zip
CA793	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA793_soildb_US_2003_[2025-09-08].zip
CA794	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA794_soildb_US_2003_[2025-09-08].zip
CA795	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA795_soildb_US_2003_[2025-09-08].zip
CA796	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA796_soildb_US_2003_[2025-09-03].zip
CA802	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA802_soildb_US_2003_[2025-09-08].zip
CA803	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA803_soildb_US_2003_[2025-09-09].zip
CA804	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA804_soildb_US_2003_[2025-09-09].zip
CA805	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_CA805_soildb_US_2003_[2025-09-08].zip
AZ623	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ623_soildb_US_2003_[2025-08-26].zip
AZ625	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ625_soildb_US_2003_[2025-08-26].zip
AZ629	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ629_soildb_US_2003_[2025-08-26].zip
AZ647	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ647_soildb_US_2003_[2025-08-26].zip
AZ649	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ649_soildb_US_2003_[2025-08-27].zip
AZ656	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ656_soildb_US_2003_[2025-08-27].zip
AZ657	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ657_soildb_US_2003_[2025-08-27].zip
AZ695	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ695_soildb_US_2003_[2025-08-27].zip
AZ701	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ701_soildb_US_2003_[2025-08-27].zip
AZ707	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ707_soildb_US_2003_[2025-08-27].zip
AZ711	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ711_soildb_US_2003_[2025-08-27].zip
AZ713	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_AZ713_soildb_US_2003_[2025-08-27].zip
NV608	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV608_soildb_US_2003_[2025-08-28].zip
NV611	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV611_soildb_US_2003_[2025-08-28].zip
NV625	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV625_soildb_US_2003_[2025-08-29].zip
NV628	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV628_soildb_US_2003_[2025-08-29].zip
NV629	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV629_soildb_US_2003_[2025-08-29].zip
NV754	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV754_soildb_US_2003_[2025-08-29].zip
NV755	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV755_soildb_US_2003_[2025-08-29].zip
NV757	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV757_soildb_US_2003_[2025-09-02].zip
NV759	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV759_soildb_US_2003_[2025-09-02].zip
NV773	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV773_soildb_US_2003_[2025-09-02].zip
NV774	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV774_soildb_US_2003_[2025-09-02].zip
NV785	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV785_soildb_US_2003_[2025-09-02].zip
NV786	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV786_soildb_US_2003_[2025-09-02].zip
NV792	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV792_soildb_US_2003_[2025-09-02].zip
NV796	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NV796_soildb_US_2003_[2025-09-02].zip
OR003	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR003_soildb_US_2003_[2025-09-09].zip
OR007	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR007_soildb_US_2003_[2025-09-09].zip
OR009	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR009_soildb_US_2003_[2025-09-09].zip
OR011	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR011_soildb_US_2003_[2025-09-09].zip
OR015	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR015_soildb_US_2003_[2025-09-09].zip
OR021	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR021_soildb_US_2003_[2025-09-10].zip
OR033	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR033_soildb_US_2003_[2025-09-10].zip
OR051	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR051_soildb_US_2003_[2025-09-09].zip
OR053	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR053_soildb_US_2003_[2025-09-09].zip
OR057	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR057_soildb_US_2003_[2025-09-09].zip
OR067	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR067_soildb_US_2003_[2025-09-09].zip
OR071	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR071_soildb_US_2003_[2025-09-09].zip
OR601	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR601_soildb_US_2003_[2025-09-09].zip
OR603	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR603_soildb_US_2003_[2025-09-10].zip
OR604	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR604_soildb_US_2003_[2025-09-09].zip
OR605	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR605_soildb_US_2003_[2025-09-09].zip
OR607	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR607_soildb_US_2003_[2025-09-09].zip
OR608	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR608_soildb_US_2003_[2025-09-09].zip
OR610	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR610_soildb_US_2003_[2025-09-09].zip
OR618	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR618_soildb_US_2003_[2025-09-09].zip
OR620	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR620_soildb_US_2003_[2025-09-10].zip
OR622	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR622_soildb_US_2003_[2025-09-10].zip
OR625	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR625_soildb_US_2003_[2025-09-10].zip
OR626	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR626_soildb_US_2003_[2025-09-10].zip
OR627	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR627_soildb_US_2003_[2025-09-10].zip
OR628	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR628_soildb_US_2003_[2025-09-10].zip
OR631	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_OR631_soildb_US_2003_[2025-09-10].zip
